name,episode,length,total_reward,reason,terminated
random,194,77,-130.476,crash,True
random,195,106,-119.811,crash,True
random,196,68,-91.463,crash,True
random,197,131,-248.928,crash,True
random,198,64,-146.261,crash,True
random,199,93,-145.517,crash,True
random,0,64,-106.352,crash,True
random,1,97,-288.179,out_of_view,True
random,2,103,-248.085,crash,True
random,3,72,-165.163,crash,True
random,4,76,-96.809,crash,True
random,5,87,-338.364,crash,True
random,6,101,-364.278,crash,True
random,7,117,-107.059,crash,True
random,8,96,-257.727,crash,True
random,9,109,-206.989,out_of_view,True
random,10,115,-249.59,out_of_view,True
random,11,102,-261.988,crash,True
random,12,67,-124.64,crash,True
random,13,64,-239.896,crash,True
random,14,68,-72.371,crash,True
random,15,90,-305.771,crash,True
random,16,55,-163.078,crash,True
random,17,126,-236.941,crash,True
random,18,86,-362.464,out_of_view,True
random,19,112,-198.947,crash,True
random,20,67,-102.276,crash,True
random,21,98,-293.889,out_of_view,True
random,22,77,-338.493,crash,True
random,23,73,-175.809,crash,True
random,24,109,-486.339,crash,True
random,25,74,-130.415,crash,True
random,26,72,-96.838,crash,True
random,27,78,-327.579,crash,True
random,28,142,-175.656,crash,True
random,29,72,-128.273,crash,True
random,30,90,-354.127,crash,True
random,31,75,-122.572,crash,True
random,32,59,-88.672,crash,True
random,33,88,-129.361,crash,True
random,34,121,-168.809,crash,True
random,35,87,-167.74,crash,True
random,36,96,-379.827,out_of_view,True
random,37,95,-113.067,crash,True
random,38,63,-120.158,crash,True
random,39,124,-76.91,crash,True
random,40,102,-93.786,crash,True
random,41,108,-126.696,crash,True
random,42,68,-92.226,crash,True
random,43,91,-447.658,crash,True
random,44,61,-124.031,crash,True
random,45,100,-139.279,crash,True
random,46,72,-118.321,crash,True
random,47,76,-172.147,crash,True
random,48,66,-77.614,crash,True
random,49,92,-398.18,out_of_view,True
random,50,80,-140.968,crash,True
random,51,92,-109.467,crash,True
random,52,106,-210.085,crash,True
random,53,90,-154.701,crash,True
random,54,71,-301.282,crash,True
random,55,83,-82.614,crash,True
random,56,72,-137.385,crash,True
random,57,95,-279.751,out_of_view,True
random,58,102,-287.784,crash,True
random,59,123,-386.436,out_of_view,True
random,60,102,-149.27,crash,True
random,61,107,-71.506,crash,True
random,62,87,-356.563,crash,True
random,63,83,-113.022,crash,True
random,64,114,-310.108,crash,True
random,65,104,-213.62,crash,True
random,66,130,-231.716,crash,True
random,67,78,-200.555,crash,True
random,68,67,-254.543,crash,True
random,69,114,-36.937,crash,True
random,70,94,-301.947,crash,True
random,71,61,-128.36,crash,True
random,72,78,-271.08,crash,True
random,73,140,-162.71,crash,True
random,74,76,-202.683,crash,True
random,75,87,-348.421,crash,True
random,76,87,-94.627,crash,True
random,77,104,-276.999,out_of_view,True
random,78,85,-98.443,crash,True
random,79,85,-358.318,crash,True
random,80,67,-111.148,crash,True
random,81,86,-216.162,crash,True
random,82,98,-71.474,crash,True
random,83,83,-218.166,crash,True
random,84,114,-499.179,crash,True
random,85,117,-97.361,crash,True
random,86,75,-201.467,crash,True
random,87,108,-105.765,crash,True
random,88,104,-226.451,out_of_view,True
random,89,113,-103.395,crash,True
random,90,77,-254.434,crash,True
random,91,90,-153.697,crash,True
random,92,90,-224.433,crash,True
random,93,74,-54.645,crash,True
random,94,108,-139.045,crash,True
random,95,124,-192.511,crash,True
random,96,115,-395.302,out_of_view,True
random,97,81,-86.513,crash,True
random,98,87,-120.55,crash,True
random,99,64,-80.096,crash,True
random,100,82,-90.247,crash,True
random,101,63,-177.784,crash,True
random,102,99,-330.419,out_of_view,True
random,103,72,-132.265,crash,True
random,104,89,-324.962,out_of_view,True
random,105,72,-84.456,crash,True
random,106,81,-320.265,crash,True
random,107,69,-180.535,crash,True
random,108,99,-267.507,out_of_view,True
random,109,98,-274.866,out_of_view,True
random,110,94,-136.146,crash,True
random,111,101,-226.248,crash,True
random,112,76,-142.504,crash,True
random,113,89,-365.075,crash,True
random,114,84,-269.17,crash,True
random,115,80,-61.725,crash,True
random,116,83,-397.453,out_of_view,True
random,117,108,-219.365,crash,True
random,118,91,-188.98,crash,True
random,119,94,-155.764,crash,True
random,120,97,-390.614,crash,True
random,121,98,-105.502,crash,True
random,122,64,-102.439,crash,True
random,123,74,-81.304,crash,True
random,124,144,-173.744,crash,True
random,125,94,-245.242,crash,True
random,126,77,-154.571,crash,True
random,127,124,-158.356,crash,True
random,128,108,-221.701,crash,True
random,129,85,-176.193,crash,True
random,130,84,-109.28,crash,True
random,131,133,-209.811,crash,True
random,132,82,-133.567,crash,True
random,133,94,-216.28,crash,True
random,134,120,-133.48,crash,True
random,135,109,-191.255,crash,True
random,136,71,-60.032,crash,True
random,137,92,-112.799,crash,True
random,138,93,-123.312,crash,True
random,139,82,-250.028,crash,True
random,140,70,-215.138,crash,True
random,141,106,-189.11,out_of_view,True
random,142,97,-227.417,crash,True
random,143,89,-121.938,crash,True
random,144,124,-136.102,crash,True
random,145,115,-195.008,out_of_view,True
random,146,75,-96.727,crash,True
random,147,70,-184.749,crash,True
random,148,117,-244.26,out_of_view,True
random,149,120,-298.662,crash,True
random,150,62,-89.497,crash,True
random,151,80,-118.187,crash,True
random,152,97,-162.468,crash,True
random,153,114,-377.927,out_of_view,True
random,154,131,-252.321,out_of_view,True
random,155,84,-135.005,crash,True
random,156,101,-249.153,out_of_view,True
random,157,81,-109.304,crash,True
random,158,88,-140.043,crash,True
random,159,81,-39.878,crash,True
random,160,65,-117.076,crash,True
random,161,85,-307.22,crash,True
random,162,74,-194.059,crash,True
random,163,81,-125.9,crash,True
random,164,79,-159.295,crash,True
random,165,61,-125.783,crash,True
random,166,84,-95.704,crash,True
random,167,106,-43.183,crash,True
random,168,65,-104.614,crash,True
random,169,77,-392.924,crash,True
random,170,148,-148.148,crash,True
random,171,85,-154.74,crash,True
random,172,118,-213.027,crash,True
random,173,122,-106.856,crash,True
random,174,103,-248.87,crash,True
random,175,91,-388.494,out_of_view,True
random,176,61,-120.3,crash,True
random,177,82,-131.738,crash,True
random,178,86,-229.57,crash,True
random,179,107,-259.779,crash,True
random,180,130,-344.535,crash,True
random,181,82,-83.763,crash,True
random,182,127,-99.053,crash,True
random,183,154,-151.933,crash,True
random,184,63,-82.297,crash,True
random,185,89,-314.241,crash,True
random,186,101,-125.469,crash,True
random,187,100,-305.252,out_of_view,True
random,188,106,-361.998,crash,True
random,189,63,-81.558,crash,True
random,190,107,-95.658,crash,True
random,191,125,-251.584,out_of_view,True
random,192,96,-266.664,out_of_view,True
random,193,57,-105.594,crash,True
random,194,78,-118.788,crash,True
random,195,113,-299.07,crash,True
random,196,80,-104.327,crash,True
random,197,104,-98.031,crash,True
random,198,82,-309.198,crash,True
random,199,94,-84.75,crash,True
random,0,71,-81.195,crash,True
random,1,98,-222.683,out_of_view,True
random,2,128,-9.593,crash,True
random,3,93,-352.751,crash,True
random,4,70,-247.802,crash,True
random,5,81,-110.866,crash,True
random,6,108,-103.83,crash,True
random,7,149,-188.95,crash,True
random,8,101,-371.466,crash,True
random,9,112,-148.367,crash,True
random,10,112,-324.373,out_of_view,True
random,11,100,-102.933,crash,True
random,12,63,-207.099,crash,True
random,13,86,-413.895,crash,True
random,14,75,-126.885,crash,True
random,15,97,-14.278,crash,True
random,16,62,-56.229,crash,True
random,17,115,-490.126,crash,True
random,18,99,-180.486,out_of_view,True
random,19,114,-334.212,out_of_view,True
random,20,62,-97.142,crash,True
random,21,114,-156.749,out_of_view,True
random,22,88,-153.08,crash,True
random,23,73,-180.875,crash,True
random,24,138,-134.193,crash,True
random,25,67,-119.298,crash,True
random,26,63,-122.177,crash,True
random,27,68,-100.248,crash,True
random,28,133,-72.388,crash,True
random,29,70,-217.378,crash,True
random,30,108,-104.642,crash,True
random,31,91,-149.774,crash,True
random,32,62,-56.789,crash,True
random,33,80,-136.553,crash,True
random,34,114,-211.581,crash,True
random,35,78,-109.116,crash,True
random,36,101,-188.725,crash,True
random,37,104,-143.597,crash,True
random,38,85,-332.904,crash,True
random,39,129,-82.16,crash,True
random,40,73,-135.997,crash,True
random,41,110,-113.253,crash,True
random,42,68,-77.716,crash,True
random,43,112,-128.008,crash,True
random,44,63,-118.479,crash,True
random,45,96,-190.922,crash,True
random,46,74,-120.553,crash,True
random,47,71,-296.053,crash,True
random,48,65,-111.342,crash,True
random,49,106,-259.945,out_of_view,True
random,50,91,-459.891,crash,True
random,51,81,-227.804,crash,True
random,52,112,-281.37,crash,True
random,53,100,-191.051,crash,True
random,54,92,-138.234,crash,True
random,55,85,-94.537,crash,True
random,56,69,-168.602,crash,True
random,57,93,-402.024,crash,True
random,58,100,-262.839,crash,True
random,59,116,-357.476,out_of_view,True
random,60,93,-222.706,crash,True
random,61,98,-306.64,out_of_view,True
random,62,64,-87.23,crash,True
random,63,103,-103.978,crash,True
random,64,86,-185.536,crash,True
random,65,111,-74.542,crash,True
random,66,115,-311.445,crash,True
random,67,79,-127.903,crash,True
random,68,75,-122.001,crash,True
random,69,96,-328.709,crash,True
random,70,124,-92.74,crash,True
random,71,59,-139.908,crash,True
random,72,85,-15.569,crash,True
random,73,115,-141.142,crash,True
random,74,59,-138.903,crash,True
random,75,92,-234.575,crash,True
random,76,77,-93.185,crash,True
random,77,116,-193.566,out_of_view,True
random,78,85,-117.203,crash,True
random,79,65,-106.921,crash,True
random,80,64,-100.561,crash,True
random,81,80,-184.017,crash,True
random,82,97,-87.626,crash,True
random,83,87,-230.496,crash,True
random,84,84,-125.839,crash,True
random,85,101,-222.749,crash,True
random,86,63,-76.054,crash,True
random,87,108,-379.329,crash,True
random,88,87,-89.157,crash,True
random,89,123,-259.441,crash,True
random,90,79,-300.818,crash,True
random,91,78,-83.164,crash,True
random,92,89,-86.606,crash,True
random,93,66,-74.917,crash,True
random,94,99,-333.657,crash,True
random,95,118,-176.848,crash,True
random,96,100,-184.902,crash,True
random,97,84,-50.484,crash,True
random,98,84,-155.782,crash,True
random,99,67,-184.902,crash,True
random,100,75,-72.318,crash,True
random,101,69,-119.634,crash,True
random,102,89,-358.83,crash,True
random,103,92,-103.572,crash,True
random,104,98,-322.976,crash,True
random,105,70,-108.84,crash,True
random,106,68,-66.614,crash,True
random,107,67,-111.177,crash,True
random,108,122,-280.214,out_of_view,True
random,109,97,-329.919,out_of_view,True
random,110,99,-110.882,crash,True
random,111,101,-344.18,crash,True
random,112,67,-105.321,crash,True
random,113,93,-224.721,crash,True
random,114,74,-67.346,crash,True
random,115,83,-266.601,crash,True
random,116,81,-326.742,crash,True
random,117,101,-278.943,crash,True
random,118,88,-179.613,crash,True
random,119,86,-312.943,crash,True
random,120,108,-235.006,crash,True
random,121,96,-356.756,crash,True
random,122,81,-47.828,crash,True
random,123,63,-115.869,crash,True
random,124,148,-27.875,crash,True
random,125,120,-43.146,crash,True
random,126,76,-243.59,crash,True
random,127,116,-230.147,out_of_view,True
random,128,93,-119.316,crash,True
random,129,88,-119.305,crash,True
random,130,79,-88.666,crash,True
random,131,139,-174.653,crash,True
