name,episode,length,total_reward,reason,terminated
random,0,73,9.136,crash,True
random,1,96,-341.053,out_of_view,True
random,2,135,-90.166,crash,True
random,3,84,-214.062,crash,True
random,4,79,-130.537,crash,True
random,5,80,-215.262,crash,True
random,6,101,-113.758,crash,True
random,7,139,-119.887,crash,True
random,8,106,-130.126,crash,True
random,9,92,-396.818,out_of_view,True
random,10,102,-304.406,out_of_view,True
random,11,114,-366.393,crash,True
random,12,60,-134.265,crash,True
random,13,66,-137.298,crash,True
random,14,78,-128.708,crash,True
random,15,88,-272.006,crash,True
random,16,58,-152.488,crash,True
random,17,109,-421.089,crash,True
random,18,99,-180.651,crash,True
random,19,123,-301.139,crash,True
random,20,64,-96.778,crash,True
random,21,93,-258.683,out_of_view,True
random,22,78,-281.455,crash,True
random,23,80,-67.455,crash,True
random,24,126,-92.732,crash,True
random,25,83,-455.052,crash,True
random,26,66,-75.124,crash,True
random,27,69,-98.586,crash,True
random,28,147,-471.778,crash,True
random,29,65,-77.628,crash,True
random,30,93,-149.9,crash,True
random,31,91,-32.096,crash,True
random,32,62,-82.694,crash,True
random,33,111,-67.042,crash,True
random,34,111,-136.433,crash,True
random,35,85,-21.595,crash,True
random,36,102,-307.037,out_of_view,True
random,37,90,-245.906,crash,True
random,38,85,-252.506,crash,True
random,39,128,-257.022,crash,True
random,40,84,-112.187,crash,True
random,41,111,-188.131,crash,True
random,42,68,-95.214,crash,True
random,43,117,-192.779,crash,True
random,44,77,-81.528,crash,True
random,45,96,-270.6,crash,True
random,46,66,-146.402,crash,True
random,47,78,-346.806,crash,True
random,48,68,-161.143,crash,True
random,49,99,-250.423,out_of_view,True
random,50,78,-87.096,crash,True
random,51,78,-261.716,crash,True
random,52,114,-108.365,crash,True
random,53,109,-340.806,crash,True
random,54,73,-91.944,crash,True
random,55,86,-173.43,crash,True
random,56,64,-113.582,crash,True
random,57,107,-145.342,crash,True
random,58,105,-126.879,crash,True
random,59,116,-347.368,crash,True
random,60,96,-361.865,out_of_view,True
random,61,108,-156.4,crash,True
random,62,66,-73.271,crash,True
random,63,112,-214.566,crash,True
random,64,89,-185.454,crash,True
random,65,91,-141.943,crash,True
random,66,190,4.677,crash,True
random,67,70,-113.348,crash,True
random,68,71,-108.437,crash,True
random,69,79,-250.542,crash,True
random,70,122,-226.965,out_of_view,True
random,71,57,-142.621,crash,True
random,72,67,-93.2,crash,True
random,73,125,-212.972,crash,True
random,74,60,-66.792,crash,True
random,75,79,-82.593,crash,True
random,76,87,-49.941,crash,True
random,77,131,-84.253,crash,True
random,78,85,-128.507,crash,True
random,79,86,17.529,crash,True
random,80,71,-130.87,crash,True
random,81,75,-110.343,crash,True
random,82,107,-96.311,crash,True
random,83,92,-372.338,crash,True
random,84,94,-122.961,crash,True
random,85,108,-141.797,crash,True
random,86,73,-141.093,crash,True
random,87,105,-273.51,crash,True
random,88,85,-326.148,crash,True
random,89,130,-492.652,crash,True
random,90,86,-298.298,crash,True
random,91,84,-139.717,crash,True
random,92,99,-126.293,crash,True
random,93,67,-111.913,crash,True
random,94,102,-352.898,crash,True
random,95,125,-54.981,crash,True
random,96,122,-150.928,crash,True
random,97,76,-189.783,crash,True
random,98,75,-317.647,crash,True
random,99,61,-122.717,crash,True
random,100,59,-63.797,crash,True
random,101,64,-101.159,crash,True
random,102,81,-322.195,crash,True
random,103,87,-328.8,crash,True
random,104,84,-333.8,out_of_view,True
random,105,66,-91.23,crash,True
random,106,71,-71.973,crash,True
random,107,73,-86.242,crash,True
random,108,86,-390.589,out_of_view,True
random,109,104,-182.152,out_of_view,True
random,110,86,-254.035,crash,True
random,111,113,-333.732,crash,True
random,112,62,-120.286,crash,True
random,113,96,-141.468,crash,True
random,114,71,-51.297,crash,True
random,115,69,-168.367,crash,True
random,116,83,-278.339,crash,True
random,117,117,-317.547,crash,True
random,118,91,-103.891,crash,True
random,119,84,-97.46,crash,True
random,120,113,-348.815,crash,True
random,121,94,-294.352,crash,True
random,122,68,-120.343,crash,True
random,123,74,-60.516,crash,True
random,124,130,-347.961,out_of_view,True
random,125,96,-352.499,crash,True
random,126,70,-144.314,crash,True
random,127,120,-315.194,out_of_view,True
random,128,90,-228.767,crash,True
random,129,91,-275.545,crash,True
random,130,83,-152.276,crash,True
random,131,124,-165.555,crash,True
random,132,81,-239.583,crash,True
random,133,98,-234.957,out_of_view,True
random,134,115,-362.533,crash,True
random,135,117,-104.121,crash,True
random,136,71,-394.033,crash,True
random,137,105,-135.17,crash,True
random,138,81,-230.788,crash,True
random,139,62,-77.066,crash,True
random,140,77,-127.147,crash,True
random,141,111,-187.618,out_of_view,True
random,142,112,-262.897,out_of_view,True
random,143,89,-140.65,crash,True
random,144,107,-122.811,crash,True
random,145,118,-156.99,crash,True
random,146,97,-385.596,crash,True
random,147,107,-252.656,crash,True
random,148,116,-276.935,out_of_view,True
random,149,121,-100.3,crash,True
random,150,55,-113.505,crash,True
random,151,82,-133.164,crash,True
