episode,global_step,mean_100,total_reward,steps
899,281971,168.67,263.13,223
900,282225,168.8,280.61,254
901,282792,168.9,262.56,567
902,283076,169.04,293.66,284
903,283332,169.15,268.82,256
904,283554,169.27,280.11,222
905,283773,169.38,265.67,219
906,283976,169.49,268.25,203
907,284248,169.59,265.85,272
908,284518,169.69,256.56,270
909,284713,169.81,276.19,195
910,285092,169.91,262.13,379
911,285359,169.98,238.14,267
912,285790,170.1,277.04,431
913,286029,170.19,252.3,239
914,286515,170.25,225.44,486
915,286761,170.38,286.33,246
916,287003,170.49,276.88,242
917,287235,170.6,270.61,232
918,288235,170.43,12.67,1000
919,288480,170.55,285.33,245
920,288704,170.65,261.66,224
921,288905,170.72,231.01,201
922,289097,170.86,299.08,192
923,289355,170.98,288.1,258
924,289545,171.06,242.4,190
925,289817,171.16,264.41,272
926,290065,171.29,290.51,248
927,290322,171.41,277.92,257
928,290510,171.55,303.27,188
929,290714,171.65,262.6,204
930,290984,171.74,259.82,270
931,291204,171.85,269.73,220
932,291371,171.95,273.56,167
933,291709,172.06,273.17,338
934,291921,172.17,269.03,212
935,292154,172.3,293.79,233
936,292525,172.41,279.69,371
937,292735,172.51,263.52,210
938,292939,172.62,274.86,204
939,293139,172.73,276.5,200
940,293330,172.83,265.86,191
941,293628,172.94,276.1,298
942,293853,173.03,262.65,225
943,294089,173.16,293.46,236
944,294317,173.27,274.78,228
945,294534,173.39,285.21,217
946,294768,173.52,297.54,234
947,295004,173.62,271.37,236
948,295251,173.74,283.73,247
949,295523,173.83,263.94,272
950,295753,173.93,271.1,230
951,295978,174.07,305.45,225
952,296208,174.16,258.98,230
953,296456,174.29,297.11,248
954,296839,174.39,274.7,383
955,297681,174.46,234.21,842
956,297880,174.56,276.19,199
957,298101,174.65,255.37,221
958,298272,174.77,296.01,171
959,298481,174.89,281.41,209
960,298678,174.97,257.27,197
961,298956,175.07,274.78,278
962,299229,175.2,296.32,273
963,299434,175.29,262.62,205
964,299636,175.36,242.98,202
965,299872,175.48,289.9,236
966,300133,175.62,313.23,261
967,300397,175.74,287.17,264
968,300580,175.82,256.41,183
969,300785,175.89,239.98,205
970,301202,175.99,278.81,417
971,301451,176.12,297.38,249
972,301655,176.2,259.16,204
973,301918,176.33,297.65,263
974,302161,176.43,279.02,243
975,302361,176.53,271.9,200
976,302559,176.65,295.54,198
977,302845,176.75,268.06,286
978,303043,176.83,254.66,198
979,303249,176.93,283.81,206
980,303446,177.02,260.96,197
981,303644,177.11,266.74,198
982,303849,177.21,272.12,205
983,304048,177.3,271.27,199
984,304222,177.37,241.94,174
985,304479,177.5,307.57,257
986,304697,177.63,301.13,218
987,304951,177.76,313.26,254
988,305192,177.89,297.29,241
989,305412,178.01,301.09,220
990,305636,178.11,279.51,224
991,305799,178.21,279.29,163
992,306004,178.31,269.36,205
993,306265,178.42,295.85,261
994,306453,178.51,259.95,188
995,306627,178.6,268.83,174
996,306852,178.7,279.82,225
997,307022,178.77,249.66,170
998,307212,178.84,247.22,190
999,307432,178.95,295.1,220
