episode,global_step,mean_100,total_reward,steps
189,86166,-10.44,265.95,254
190,86579,-9.16,234.4,413
191,87579,-9.19,-14.35,1000
192,88068,-8.02,216.97,489
193,88296,-6.64,259.5,228
194,89296,-6.85,-48.63,1000
195,90069,-6.16,129.71,773
196,90327,-4.84,253.61,258
197,91248,-3.67,226.25,921
198,92248,-3.89,-48.05,1000
199,93248,-4.06,-37.25,1000
200,93562,-2.63,282.63,314
201,93826,-1.45,236.77,264
202,94038,-1.7,-51.96,212
203,94313,-0.54,235.06,275
204,94614,0.72,257.79,301
205,94902,0.88,33.45,288
206,95080,2.12,257.84,178
207,95336,3.3,247.21,256
208,95541,3.36,15.23,205
209,95850,4.64,273.08,309
210,96850,4.29,-70.62,1000
211,97268,3.26,-212.19,418
212,98229,3.93,144.99,961
213,98405,4.03,26.0,176
214,98791,5.23,260.56,386
215,98986,6.43,264.22,195
216,99737,5.21,-256.47,751
217,100079,6.16,212.23,342
218,100235,6.13,-0.77,156
219,100648,6.74,139.59,413
220,101204,8.04,293.52,556
221,101364,7.18,-181.6,160
222,101522,7.3,33.06,158
223,102522,6.98,-63.11,1000
224,102824,6.36,-132.98,302
225,103018,7.44,250.83,194
226,104018,7.91,112.55,1000
227,104368,7.23,-146.57,350
228,104619,8.2,229.63,251
229,104878,9.1,216.15,259
230,105324,10.19,260.26,446
231,105440,10.16,3.23,116
232,105621,11.15,239.54,181
233,105988,12.14,243.52,367
234,106229,13.12,242.99,241
235,106548,14.27,285.28,319
236,106816,15.26,247.38,268
237,107067,16.25,250.59,251
238,107287,16.09,-22.32,220
239,107519,15.98,-8.49,232
240,107629,15.91,-0.64,110
241,108004,16.68,202.02,375
242,108320,17.31,169.81,316
243,108709,18.25,244.78,389
244,109168,19.1,228.85,459
245,109453,20.18,284.33,285
246,109615,20.08,-6.15,162
247,109898,20.93,232.37,283
248,110373,21.49,158.81,475
249,110649,22.51,277.13,276
250,110815,23.47,263.79,166
251,111021,24.48,278.99,206
252,111278,25.41,258.32,257
253,111515,26.38,273.2,237
254,111682,27.32,265.03,167
255,112110,28.07,218.46,428
256,112477,28.67,183.88,367
257,112732,29.57,260.22,255
258,113040,30.41,246.73,308
259,113303,31.3,261.58,263
260,113582,32.13,249.77,279
261,113778,33.07,278.19,196
262,114158,33.77,215.44,380
263,114565,34.69,277.24,407
264,114765,35.47,242.48,200
265,115193,36.08,197.1,428
266,115490,36.99,277.6,297
267,115682,37.75,241.76,192
268,115984,38.56,255.23,302
269,116175,39.41,267.87,191
270,116534,40.34,291.3,359
271,117126,41.08,242.6,592
272,117481,41.74,221.04,355
273,117775,42.7,305.39,294
274,117998,43.5,261.93,223
275,118276,44.35,278.82,278
276,118502,45.16,268.39,226
277,118716,45.91,253.22,214
278,119410,46.32,161.35,694
279,119618,47.05,251.01,208
280,120022,47.89,282.42,404
281,121022,47.64,-23.02,1000
282,121946,48.23,213.18,924
283,122134,48.91,242.32,188
284,122390,49.71,276.77,256
285,122765,49.05,-137.71,375
286,122973,49.84,273.95,208
287,123278,50.39,209.68,305
288,123466,51.09,253.4,188
289,123759,51.7,226.7,293
290,124074,52.36,245.18,315
291,124269,53.08,261.55,195
292,124428,53.88,287.07,159
293,124537,53.36,-97.42,109
294,124968,54.15,285.45,431
295,125168,54.82,251.31,200
296,125263,54.42,-62.37,95
297,125449,53.68,-165.72,186
298,125610,53.7,58.3,161
299,125769,53.58,17.04,159
300,126091,54.3,271.36,322
301,127091,53.94,-55.98,1000
302,127383,54.48,219.85,292
303,128383,54.26,-12.2,1000
304,128718,54.91,250.58,335
305,129095,55.35,190.54,377
306,129454,54.62,-170.2,359
307,130454,54.42,-4.27,1000
308,130639,55.01,235.15,185
309,130887,55.69,266.14,248
310,131110,56.35,261.51,223
311,132015,56.77,186.55,905
312,132237,57.43,264.4,222
313,132523,57.95,219.24,286
314,132766,58.65,280.35,243
315,132946,59.21,233.42,180
316,133134,59.76,234.57,188
317,133346,60.38,258.13,212
318,133564,60.93,235.45,218
319,134042,61.42,216.46,478
320,134626,61.05,-55.8,584
321,134850,61.68,263.56,224
322,135235,62.25,243.45,385
323,135389,62.14,29.26,154
324,135684,62.77,265.08,295
325,135938,63.46,289.38,254
326,136188,63.91,208.59,250
327,136552,64.27,181.38,364
328,136843,64.83,249.42,291
329,137359,64.31,-107.6,516
330,137565,64.93,272.48,206
331,137732,64.84,35.07,167
332,137895,64.66,4.46,163
333,138079,65.13,221.21,184
334,138258,65.78,282.99,179
335,138512,66.28,231.85,254
336,138705,66.85,261.15,193
337,139103,67.25,199.85,398
338,139312,67.71,224.14,209
339,139512,68.22,240.96,200
340,139757,68.79,261.41,245
341,140069,69.16,197.84,312
342,140277,69.76,272.34,208
343,140461,70.23,230.84,184
344,140620,70.14,40.16,159
345,140789,70.66,251.19,169
346,140996,71.21,260.49,207
347,141217,71.81,279.43,221
348,141495,72.43,288.34,278
349,141706,72.95,254.2,211
350,141906,73.49,264.4,200
351,142073,73.96,237.84,167
352,142391,74.36,214.57,318
353,142581,74.86,250.85,190
354,142794,75.45,286.23,213
355,143024,75.98,263.96,230
356,143200,76.35,208.68,176
357,143394,76.87,262.98,194
358,143583,77.47,289.63,189
359,143806,78.02,277.06,223
360,143977,78.59,283.01,171
361,144366,78.95,209.76,389
362,144480,78.82,30.04,114
363,144755,79.12,189.59,275
364,144955,79.1,71.27,200
365,145253,79.56,248.92,298
366,145903,80.0,238.09,650
367,146085,80.51,270.64,182
368,146279,80.96,247.11,194
369,146522,81.45,259.14,243
370,146828,81.85,230.74,306
371,147032,82.38,277.79,204
372,147216,82.37,79.59,184
373,147472,82.92,288.64,256
374,147676,83.48,292.98,204
375,148102,83.9,240.43,426
376,148313,84.37,261.44,211
377,148544,84.82,253.81,231
378,148752,85.39,302.81,208
379,149003,85.8,240.06,251
380,149189,86.3,275.35,186
381,149693,86.74,254.12,504
382,150269,87.18,255.77,576
383,150420,87.67,275.29,151
384,150631,88.11,258.75,211
385,150908,88.5,238.59,277
386,151161,88.94,258.12,253
387,151356,89.41,269.92,195
388,151738,89.87,269.3,382
389,152321,90.37,284.69,583
390,152542,90.86,282.02,221
391,152736,91.27,254.42,194
392,152973,91.77,286.82,237
393,153220,92.24,275.4,247
394,153483,92.66,259.48,263
395,153745,93.13,279.51,262
396,153942,93.56,264.03,197
397,154708,94.01,270.33,766
398,154889,93.83,21.65,181
399,155149,94.31,285.39,260
400,155454,94.78,285.25,305
401,155630,95.14,238.19,176
402,156538,95.49,237.42,908
403,156886,95.79,214.84,348
404,157159,96.21,266.9,273
405,157374,96.68,288.83,215
406,157786,97.0,226.44,412
407,157981,97.51,303.01,195
408,158142,97.38,44.39,161
409,158687,97.71,232.1,545
410,159022,98.14,275.63,335
411,159239,98.6,288.67,217
412,159412,99.02,271.47,173
413,159634,99.39,252.27,222
414,159844,99.83,283.29,210
415,159988,99.67,32.46,144
416,160180,100.07,265.26,192
417,160351,100.44,254.24,171
418,160536,100.31,46.06,185
419,160717,100.1,11.83,181
420,160961,100.45,249.93,244
421,161140,100.85,266.82,179
422,161568,101.27,281.39,428
423,161724,100.97,-29.38,156
424,161843,100.42,-129.58,119
425,162115,100.73,232.93,272
426,162329,101.14,274.29,214
427,162427,100.84,-28.03,98
428,162652,101.15,234.49,225
429,162870,101.44,227.17,218
430,163047,101.17,-15.54,177
431,163258,101.63,298.88,211
432,163462,102.03,274.09,204
433,163734,102.37,251.18,272
434,163949,102.75,267.45,215
435,164508,102.13,-168.85,559
436,165001,102.45,242.78,493
437,165350,101.89,-140.96,349
438,165558,102.28,268.96,208
439,165753,102.68,282.14,195
440,165966,103.12,294.93,213
441,166743,103.46,252.51,777
442,167000,103.85,276.72,257
443,167127,103.59,-10.22,127
444,167319,103.93,253.35,192
445,167466,103.63,-30.41,147
446,167676,104.03,283.4,210
447,167876,104.47,303.0,200
448,168064,104.14,-44.8,188
449,168393,104.49,258.94,329
450,168658,104.65,177.47,265
451,168905,104.33,-38.98,247
452,169188,104.61,233.44,283
453,169324,104.29,-42.62,136
454,169530,104.71,293.65,206
455,169752,104.09,-178.09,222
456,169960,104.41,250.75,208
457,170158,104.7,238.25,198
458,170354,105.04,260.62,196
459,170513,104.79,-7.44,159
460,170696,105.13,258.84,183
461,171306,105.43,243.02,610
462,171576,105.84,297.29,270
463,171849,105.23,-180.15,273
464,172013,105.57,263.25,164
465,172311,105.91,264.21,298
466,172511,106.26,269.14,200
467,172714,106.57,251.97,203
468,172926,106.92,271.05,212
469,173105,107.26,267.25,179
470,173339,107.58,256.71,234
471,173560,107.92,269.11,221
472,173843,108.12,205.38,283
473,174099,108.5,288.21,256
474,174274,108.83,263.18,175
475,174468,109.18,277.65,194
476,174755,109.46,243.06,287
477,174997,109.06,-85.28,242
478,175266,109.48,312.27,269
479,175542,109.87,294.32,276
480,175732,110.19,266.54,190
481,175924,110.54,275.92,192
482,176165,110.91,293.22,241
483,176422,111.27,283.17,257
484,176639,111.55,247.07,217
485,176854,111.95,307.33,215
486,177038,112.22,241.79,184
487,177296,112.54,269.12,258
488,177503,112.84,259.0,207
489,177768,113.14,260.14,265
490,178024,113.51,292.32,256
491,178276,113.86,288.77,252
492,178518,114.21,285.77,242
493,178760,114.51,262.18,242
494,178999,114.86,288.34,239
495,179208,115.23,296.1,209
496,179407,115.49,245.58,199
497,179613,115.85,294.09,206
498,179809,116.14,261.49,196
499,180018,116.45,273.3,209
500,180445,116.78,280.48,427
501,180639,117.07,258.98,194
502,180828,117.35,262.02,189
503,181055,117.62,249.43,227
504,181250,117.87,244.99,195
505,181478,118.23,299.45,228
506,181679,118.53,274.05,201
507,181877,118.9,304.63,198
508,182126,119.27,306.02,249
509,182333,119.6,286.89,207
510,182519,119.86,254.17,186
511,182723,120.2,292.85,204
512,182946,120.5,276.91,223
513,183184,120.83,288.89,238
514,183403,121.17,293.09,219
515,183608,121.52,304.94,205
516,183806,121.8,266.22,198
517,184019,122.14,298.07,213
518,184236,122.47,291.19,217
519,184453,122.73,257.67,217
